SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612751,BKN,Brooklyn Nets,1522200033,2022-07-12,BKN vs. MEM,L,199,84,29,75,0.387,6,25,0.24,20,29,0.69,7,20,27,15,10,4,16,18,-36.0
22022,1610612751,BKN,Brooklyn Nets,1522200019,2022-07-10,BKN vs. PHI,W,200,91,29,67,0.433,5,19,0.263,28,32,0.875,10,33,43,19,11,3,22,13,6.8
22022,1610612751,BKN,Brooklyn Nets,1522200006,2022-07-08,BKN @ MIL,L,201,90,33,73,0.452,10,32,0.313,14,19,0.737,6,29,35,11,6,3,17,27,-14.2
42021,1610612751,BKN,Brooklyn Nets,0042100114,2022-04-25,BKN vs. BOS,L,242,112,41,81,0.506,13,35,0.371,17,29,0.586,8,30,38,28,5,7,10,23,-4.0
42021,1610612751,BKN,Brooklyn Nets,0042100113,2022-04-23,BKN vs. BOS,L,240,103,39,77,0.506,12,29,0.414,13,16,0.813,12,21,33,25,7,5,18,22,-6.0
42021,1610612751,BKN,Brooklyn Nets,0042100112,2022-04-20,BKN @ BOS,L,239,107,35,76,0.461,10,21,0.476,27,34,0.794,9,27,36,16,8,8,14,28,-7.0
42021,1610612751,BKN,Brooklyn Nets,0042100111,2022-04-17,BKN @ BOS,L,240,114,42,78,0.538,11,24,0.458,19,24,0.792,5,24,29,20,12,6,16,26,-1.0
52021,1610612751,BKN,Brooklyn Nets,0052100101,2022-04-12,BKN vs. CLE,W,240,115,45,84,0.536,9,28,0.321,16,24,0.667,10,33,43,33,9,9,14,20,7.0
22021,1610612751,BKN,Brooklyn Nets,0022101216,2022-04-10,BKN vs. IND,W,240,134,52,81,0.642,8,22,0.364,22,25,0.88,8,42,50,30,5,6,20,16,8.0
22021,1610612751,BKN,Brooklyn Nets,0022101205,2022-04-08,BKN vs. CLE,W,239,118,43,92,0.467,12,32,0.375,20,21,0.952,13,32,45,30,5,8,10,20,11.0
22021,1610612751,BKN,Brooklyn Nets,0022101191,2022-04-06,BKN @ NYK,W,242,110,41,93,0.441,14,41,0.341,14,18,0.778,13,36,49,28,7,6,13,26,12.0
22021,1610612751,BKN,Brooklyn Nets,0022101180,2022-04-05,BKN vs. HOU,W,239,118,39,86,0.453,15,37,0.405,25,27,0.926,12,40,52,22,6,9,16,23,13.0
22021,1610612751,BKN,Brooklyn Nets,0022101163,2022-04-02,BKN @ ATL,L,239,115,42,99,0.424,17,37,0.459,14,19,0.737,10,42,52,17,5,3,13,29,-7.0
22021,1610612751,BKN,Brooklyn Nets,0022101148,2022-03-31,BKN vs. MIL,L,266,119,45,97,0.464,18,37,0.486,11,16,0.688,5,36,41,31,12,7,16,25,-1.0
22021,1610612751,BKN,Brooklyn Nets,0022101133,2022-03-29,BKN vs. DET,W,240,130,42,76,0.553,15,28,0.536,31,34,0.912,8,33,41,24,9,6,19,19,7.0
22021,1610612751,BKN,Brooklyn Nets,0022101120,2022-03-27,BKN vs. CHA,L,240,110,43,97,0.443,7,34,0.206,17,26,0.654,14,36,50,30,9,11,9,20,-9.0
22021,1610612751,BKN,Brooklyn Nets,0022101111,2022-03-26,BKN @ MIA,W,240,110,39,83,0.47,11,33,0.333,21,26,0.808,11,29,40,26,15,5,13,22,15.0
22021,1610612751,BKN,Brooklyn Nets,0022101089,2022-03-23,BKN @ MEM,L,242,120,43,87,0.494,9,25,0.36,25,27,0.926,10,29,39,18,6,10,14,20,-12.0
22021,1610612751,BKN,Brooklyn Nets,0022101075,2022-03-21,BKN vs. UTA,W,240,114,45,83,0.542,11,30,0.367,13,15,0.867,7,34,41,31,5,4,14,19,8.0
22021,1610612751,BKN,Brooklyn Nets,0022101048,2022-03-18,BKN vs. POR,W,240,128,45,77,0.584,10,25,0.4,28,33,0.848,13,32,45,24,7,4,21,22,5.0
22021,1610612751,BKN,Brooklyn Nets,0022101036,2022-03-16,BKN vs. DAL,L,241,111,45,91,0.495,9,26,0.346,12,15,0.8,19,26,45,28,2,2,11,21,-2.0
22021,1610612751,BKN,Brooklyn Nets,0022101030,2022-03-15,BKN @ ORL,W,240,150,53,88,0.602,16,27,0.593,28,34,0.824,7,41,48,35,9,4,12,23,42.0
22021,1610612751,BKN,Brooklyn Nets,0022101012,2022-03-13,BKN vs. NYK,W,240,110,44,89,0.494,6,29,0.207,16,22,0.727,12,27,39,30,11,3,13,19,3.0
22021,1610612751,BKN,Brooklyn Nets,0022100993,2022-03-10,BKN @ PHI,W,240,129,51,91,0.56,18,40,0.45,9,17,0.529,10,35,45,29,13,15,11,22,29.0
22021,1610612751,BKN,Brooklyn Nets,0022100975,2022-03-08,BKN @ CHA,W,242,132,46,82,0.561,18,35,0.514,22,29,0.759,6,32,38,33,8,4,16,20,11.0
22021,1610612751,BKN,Brooklyn Nets,0022100960,2022-03-06,BKN @ BOS,L,240,120,45,89,0.506,12,27,0.444,18,20,0.9,12,33,45,24,6,4,15,26,-6.0
22021,1610612751,BKN,Brooklyn Nets,0022100941,2022-03-03,BKN vs. MIA,L,240,107,39,83,0.47,12,31,0.387,17,22,0.773,7,23,30,24,5,5,13,24,-6.0
22021,1610612751,BKN,Brooklyn Nets,0022100928,2022-03-01,BKN @ TOR,L,240,108,42,84,0.5,10,25,0.4,14,19,0.737,7,30,37,21,3,5,12,21,-1.0
22021,1610612751,BKN,Brooklyn Nets,0022100726,2022-02-28,BKN vs. TOR,L,240,97,33,86,0.384,12,35,0.343,19,24,0.792,14,31,45,23,4,5,22,20,-36.0
22021,1610612751,BKN,Brooklyn Nets,0022100910,2022-02-26,BKN @ MIL,W,240,126,44,92,0.478,13,34,0.382,25,33,0.758,12,28,40,24,7,5,7,24,3.0
22021,1610612751,BKN,Brooklyn Nets,0022100890,2022-02-24,BKN vs. BOS,L,242,106,39,94,0.415,7,29,0.241,21,28,0.75,8,30,38,25,8,4,10,16,-23.0
22021,1610612751,BKN,Brooklyn Nets,0022100464,2022-02-17,BKN vs. WAS,L,238,103,36,89,0.404,14,38,0.368,17,24,0.708,15,27,42,19,6,5,15,20,-14.0
