SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612741,CHI,Chicago Bulls,1522200048,2022-07-14,CHI @ CHA,,120,55,22,48,0.458,4,13,0.308,7,10,0.7,7,24,31,13,6,8,11,9,18.8
22022,1610612741,CHI,Chicago Bulls,1522200032,2022-07-12,CHI @ TOR,W,201,93,33,60,0.55,9,24,0.375,18,28,0.643,4,26,30,20,9,1,18,14,16.8
22022,1610612741,CHI,Chicago Bulls,1522200020,2022-07-10,CHI @ NYK,L,199,69,23,62,0.371,6,26,0.231,17,26,0.654,5,25,30,14,7,2,21,27,-30.6
22022,1610612741,CHI,Chicago Bulls,1522200003,2022-07-08,CHI vs. DAL,W,211,100,33,73,0.452,4,14,0.286,30,36,0.833,10,36,46,21,6,4,21,35,0.0
42021,1610612741,CHI,Chicago Bulls,0042100125,2022-04-27,CHI @ MIL,L,242,100,39,92,0.424,15,52,0.288,7,11,0.636,6,31,37,24,12,3,16,18,-16.0
42021,1610612741,CHI,Chicago Bulls,0042100124,2022-04-24,CHI vs. MIL,L,240,95,35,90,0.389,9,36,0.25,16,17,0.941,8,36,44,27,5,3,11,18,-24.0
42021,1610612741,CHI,Chicago Bulls,0042100123,2022-04-22,CHI vs. MIL,L,240,81,33,84,0.393,9,34,0.265,6,10,0.6,5,38,43,22,5,2,13,15,-30.0
42021,1610612741,CHI,Chicago Bulls,0042100122,2022-04-20,CHI @ MIL,W,239,114,44,89,0.494,12,25,0.48,14,15,0.933,6,37,43,25,7,5,12,20,4.0
42021,1610612741,CHI,Chicago Bulls,0042100121,2022-04-17,CHI @ MIL,L,241,86,31,96,0.323,7,37,0.189,17,19,0.895,16,37,53,17,10,3,11,22,-7.0
22021,1610612741,CHI,Chicago Bulls,0022101224,2022-04-10,CHI @ MIN,W,242,124,44,83,0.53,10,21,0.476,26,33,0.788,16,32,48,22,9,3,21,22,4.0
22021,1610612741,CHI,Chicago Bulls,0022101208,2022-04-08,CHI vs. CHA,L,239,117,44,82,0.537,13,24,0.542,16,20,0.8,6,25,31,25,7,1,12,12,-16.0
22021,1610612741,CHI,Chicago Bulls,0022101193,2022-04-06,CHI vs. BOS,L,240,94,35,80,0.438,7,23,0.304,17,23,0.739,7,33,40,19,7,4,17,22,-23.0
22021,1610612741,CHI,Chicago Bulls,0022101183,2022-04-05,CHI vs. MIL,L,240,106,42,98,0.429,9,33,0.273,13,13,1.0,13,29,42,22,8,2,14,21,-21.0
22021,1610612741,CHI,Chicago Bulls,0022101164,2022-04-02,CHI vs. MIA,L,241,109,37,86,0.43,9,34,0.265,26,29,0.897,11,28,39,21,5,4,5,19,-18.0
22021,1610612741,CHI,Chicago Bulls,0022101149,2022-03-31,CHI vs. LAC,W,265,135,50,102,0.49,10,29,0.345,25,32,0.781,13,37,50,24,6,3,8,17,5.0
22021,1610612741,CHI,Chicago Bulls,0022101132,2022-03-29,CHI @ WAS,W,240,107,43,85,0.506,6,18,0.333,15,18,0.833,6,30,36,26,9,1,8,14,13.0
22021,1610612741,CHI,Chicago Bulls,0022101126,2022-03-28,CHI @ NYK,L,239,104,34,79,0.43,6,23,0.261,30,33,0.909,6,41,47,16,6,3,12,24,-5.0
22021,1610612741,CHI,Chicago Bulls,0022101110,2022-03-26,CHI @ CLE,W,241,98,36,75,0.48,5,21,0.238,21,25,0.84,6,31,37,23,6,1,13,21,4.0
22021,1610612741,CHI,Chicago Bulls,0022101098,2022-03-24,CHI @ NOP,L,239,109,40,78,0.513,14,34,0.412,15,19,0.789,4,29,33,25,5,4,15,24,-17.0
22021,1610612741,CHI,Chicago Bulls,0022101082,2022-03-22,CHI @ MIL,L,240,98,39,92,0.424,13,33,0.394,7,13,0.538,5,28,33,21,9,4,7,12,-28.0
22021,1610612741,CHI,Chicago Bulls,0022101076,2022-03-21,CHI vs. TOR,W,240,113,44,90,0.489,11,28,0.393,14,24,0.583,14,28,42,28,6,7,5,14,14.0
22021,1610612741,CHI,Chicago Bulls,0022101056,2022-03-18,CHI @ PHX,L,240,102,35,85,0.412,7,27,0.259,25,31,0.806,13,24,37,20,6,0,11,18,-27.0
22021,1610612741,CHI,Chicago Bulls,0022101041,2022-03-16,CHI @ UTA,L,240,110,43,91,0.473,12,34,0.353,12,17,0.706,5,32,37,28,10,2,12,22,-15.0
22021,1610612741,CHI,Chicago Bulls,0022101026,2022-03-14,CHI @ SAC,L,240,103,36,88,0.409,10,34,0.294,21,22,0.955,9,31,40,22,5,5,13,20,-9.0
22021,1610612741,CHI,Chicago Bulls,0022101006,2022-03-12,CHI vs. CLE,W,239,101,39,88,0.443,9,21,0.429,14,15,0.933,8,38,46,20,12,5,12,18,10.0
22021,1610612741,CHI,Chicago Bulls,0022100982,2022-03-09,CHI @ DET,W,240,114,40,76,0.526,3,15,0.2,31,35,0.886,2,31,33,19,13,0,11,15,6.0
22021,1610612741,CHI,Chicago Bulls,0022100969,2022-03-07,CHI @ PHI,L,239,106,39,87,0.448,8,24,0.333,20,26,0.769,14,34,48,22,5,4,13,24,-15.0
22021,1610612741,CHI,Chicago Bulls,0022100949,2022-03-04,CHI vs. MIL,L,237,112,47,94,0.5,10,26,0.385,8,11,0.727,5,35,40,25,5,2,12,23,-6.0
22021,1610612741,CHI,Chicago Bulls,0022100710,2022-03-03,CHI @ ATL,L,241,124,52,88,0.591,14,26,0.538,6,7,0.857,5,27,32,30,5,2,13,19,-6.0
22021,1610612741,CHI,Chicago Bulls,0022100922,2022-02-28,CHI @ MIA,L,240,99,41,84,0.488,7,29,0.241,10,15,0.667,5,33,38,23,9,4,14,24,-13.0
22021,1610612741,CHI,Chicago Bulls,0022100909,2022-02-26,CHI vs. MEM,L,239,110,39,93,0.419,9,20,0.45,23,30,0.767,6,35,41,17,9,3,9,17,-6.0
22021,1610612741,CHI,Chicago Bulls,0022100891,2022-02-24,CHI vs. ATL,W,240,112,41,84,0.488,8,27,0.296,22,27,0.815,6,37,43,16,5,8,8,20,4.0
22021,1610612741,CHI,Chicago Bulls,0022100878,2022-02-16,CHI vs. SAC,W,240,125,47,94,0.5,12,29,0.414,19,20,0.95,13,34,47,25,8,2,11,16,7.0
22021,1610612741,CHI,Chicago Bulls,0022100861,2022-02-14,CHI vs. SAS,W,240,120,46,88,0.523,10,24,0.417,18,21,0.857,10,43,53,25,3,3,15,19,11.0
22021,1610612741,CHI,Chicago Bulls,0022100852,2022-02-12,CHI vs. OKC,W,241,106,40,89,0.449,7,25,0.28,19,23,0.826,11,46,57,20,6,3,13,19,5.0
22021,1610612741,CHI,Chicago Bulls,0022100843,2022-02-11,CHI vs. MIN,W,240,134,55,87,0.632,14,31,0.452,10,13,0.769,6,37,43,32,6,3,13,15,12.0
