SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612739,CLE,Cleveland Cavaliers,1522200049,2022-07-14,CLE @ DET,,199,76,29,76,0.382,5,23,0.217,13,16,0.813,12,25,37,16,12,5,10,19,5.6
22022,1610612739,CLE,Cleveland Cavaliers,1522200040,2022-07-13,CLE @ CHA,L,200,80,31,78,0.397,5,25,0.2,13,18,0.722,14,18,32,18,8,4,7,18,-9.0
22022,1610612739,CLE,Cleveland Cavaliers,1522200022,2022-07-10,CLE vs. DEN,L,199,76,27,64,0.422,6,22,0.273,16,25,0.64,7,24,31,9,8,2,14,14,-6.2
22022,1610612739,CLE,Cleveland Cavaliers,1522200004,2022-07-08,CLE vs. SAS,W,200,99,33,65,0.508,12,27,0.444,21,26,0.808,8,26,34,17,8,6,7,14,9.0
52021,1610612739,CLE,Cleveland Cavaliers,0052100201,2022-04-15,CLE vs. ATL,L,239,101,37,81,0.457,13,36,0.361,14,17,0.824,8,28,36,23,8,4,11,20,-6.0
52021,1610612739,CLE,Cleveland Cavaliers,0052100101,2022-04-12,CLE @ BKN,L,239,108,41,92,0.446,9,26,0.346,17,20,0.85,10,30,40,26,9,2,15,21,-7.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101218,2022-04-10,CLE vs. MIL,W,240,133,51,94,0.543,19,38,0.5,12,17,0.706,10,38,48,39,5,5,10,26,18.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101205,2022-04-08,CLE @ BKN,L,239,107,40,82,0.488,8,27,0.296,19,24,0.792,10,21,31,19,4,4,8,20,-11.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101179,2022-04-05,CLE @ ORL,L,240,115,42,86,0.488,16,36,0.444,15,22,0.682,9,38,47,25,6,4,11,11,-5.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101170,2022-04-03,CLE vs. PHI,L,240,108,35,78,0.449,15,33,0.455,23,31,0.742,7,34,41,24,10,3,9,28,-4.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101162,2022-04-02,CLE @ NYK,W,240,119,44,81,0.543,15,34,0.441,16,21,0.762,7,36,43,26,6,3,9,24,18.0
22021,1610612739,CLE,Cleveland Cavaliers,0022100452,2022-03-31,CLE @ ATL,L,239,107,39,90,0.433,7,30,0.233,22,28,0.786,15,32,47,19,6,5,14,20,-24.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101136,2022-03-30,CLE vs. DAL,L,240,112,42,83,0.506,11,25,0.44,17,22,0.773,9,30,39,24,7,3,13,15,-8.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101123,2022-03-28,CLE vs. ORL,W,239,107,37,83,0.446,13,41,0.317,20,23,0.87,6,35,41,26,11,4,13,13,6.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101110,2022-03-26,CLE vs. CHI,L,240,94,34,82,0.415,7,31,0.226,19,27,0.704,15,31,46,17,7,3,13,23,-4.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101095,2022-03-24,CLE @ TOR,L,242,104,37,79,0.468,12,30,0.4,18,22,0.818,9,27,36,24,4,3,13,14,-13.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101072,2022-03-21,CLE vs. LAL,L,240,120,45,86,0.523,14,39,0.359,16,19,0.842,8,30,38,29,3,2,12,19,-11.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101060,2022-03-19,CLE vs. DET,W,239,113,45,88,0.511,10,26,0.385,13,23,0.565,12,32,44,28,7,4,14,16,4.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101049,2022-03-18,CLE vs. DEN,W,265,119,44,98,0.449,14,37,0.378,17,26,0.654,15,31,46,31,11,4,11,17,3.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101034,2022-03-16,CLE vs. PHI,L,240,114,39,80,0.488,9,28,0.321,27,32,0.844,8,31,39,25,9,4,9,17,-4.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101020,2022-03-14,CLE vs. LAC,W,265,120,41,86,0.477,15,30,0.5,23,32,0.719,12,37,49,28,7,4,11,19,9.0
22021,1610612739,CLE,Cleveland Cavaliers,0022101006,2022-03-12,CLE @ CHI,L,242,91,36,86,0.419,5,24,0.208,14,17,0.824,5,35,40,19,7,4,14,19,-10.0
22021,1610612739,CLE,Cleveland Cavaliers,0022100998,2022-03-11,CLE @ MIA,L,238,105,35,79,0.443,8,25,0.32,27,29,0.931,7,33,40,25,5,2,17,23,-12.0
22021,1610612739,CLE,Cleveland Cavaliers,0022100976,2022-03-08,CLE @ IND,W,240,127,47,94,0.5,9,32,0.281,24,27,0.889,14,26,40,25,13,6,8,16,3.0
