SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612745,HOU,Houston Rockets,1522200027,2022-07-11,HOU @ SAS,W,200,97,35,80,0.438,10,25,0.4,17,25,0.68,13,25,38,21,14,7,12,20,13.0
22022,1610612745,HOU,Houston Rockets,1522200015,2022-07-09,HOU vs. OKC,W,200,90,34,80,0.425,11,36,0.306,11,14,0.786,10,34,44,24,10,7,20,25,-1.4
22022,1610612745,HOU,Houston Rockets,1522200001,2022-07-07,HOU @ ORL,L,199,77,26,67,0.388,9,31,0.29,16,23,0.696,6,32,38,15,1,7,13,26,-11.8
22021,1610612745,HOU,Houston Rockets,0022101221,2022-04-10,HOU vs. ATL,L,241,114,41,89,0.461,17,46,0.37,15,20,0.75,6,28,34,24,4,4,5,19,-16.0
22021,1610612745,HOU,Houston Rockets,0022101206,2022-04-08,HOU @ TOR,L,240,115,43,81,0.531,10,29,0.345,19,24,0.792,7,34,41,24,6,3,18,19,-2.0
22021,1610612745,HOU,Houston Rockets,0022101180,2022-04-05,HOU @ BKN,L,239,105,40,99,0.404,11,43,0.256,14,25,0.56,18,30,48,18,8,6,11,20,-13.0
22021,1610612745,HOU,Houston Rockets,0022101173,2022-04-03,HOU vs. MIN,L,239,132,48,85,0.565,16,40,0.4,20,29,0.69,11,25,36,28,8,4,23,24,-7.0
22021,1610612745,HOU,Houston Rockets,0022101154,2022-04-01,HOU vs. SAC,L,240,117,41,97,0.423,17,45,0.378,18,26,0.692,15,30,45,26,9,7,10,25,-5.0
22021,1610612745,HOU,Houston Rockets,0022101142,2022-03-30,HOU vs. SAC,L,241,118,43,94,0.457,13,42,0.31,19,25,0.76,12,39,51,23,7,4,17,34,-3.0
22021,1610612745,HOU,Houston Rockets,0022101128,2022-03-28,HOU vs. SAS,L,240,120,38,92,0.413,20,49,0.408,24,28,0.857,10,34,44,26,5,9,12,24,-3.0
22021,1610612745,HOU,Houston Rockets,0022101114,2022-03-26,HOU @ POR,W,240,115,44,84,0.524,15,35,0.429,12,18,0.667,8,30,38,34,12,8,20,14,17.0
22021,1610612745,HOU,Houston Rockets,0022101105,2022-03-25,HOU @ POR,W,240,125,43,83,0.518,19,45,0.422,20,23,0.87,9,28,37,27,12,3,14,22,19.0
22021,1610612745,HOU,Houston Rockets,0022101092,2022-03-23,HOU @ DAL,L,239,91,33,82,0.402,4,28,0.143,21,28,0.75,12,33,45,17,8,5,15,21,-19.0
22021,1610612745,HOU,Houston Rockets,0022101077,2022-03-21,HOU vs. WAS,W,241,115,42,85,0.494,20,39,0.513,11,13,0.846,6,38,44,30,5,8,12,22,18.0
22021,1610612745,HOU,Houston Rockets,0022101063,2022-03-20,HOU vs. MEM,L,240,98,37,86,0.43,10,31,0.323,14,24,0.583,5,40,45,26,6,3,17,16,-24.0
22021,1610612745,HOU,Houston Rockets,0022101053,2022-03-18,HOU vs. IND,L,240,118,39,79,0.494,12,27,0.444,28,32,0.875,5,37,42,24,9,8,15,19,-3.0
22021,1610612745,HOU,Houston Rockets,0022101038,2022-03-16,HOU vs. PHX,L,240,112,42,85,0.494,16,39,0.41,12,19,0.632,9,24,33,26,9,3,11,13,-17.0
22021,1610612745,HOU,Houston Rockets,0022101017,2022-03-13,HOU @ NOP,L,240,105,39,77,0.506,12,31,0.387,15,25,0.6,9,30,39,24,3,4,24,26,-25.0
22021,1610612745,HOU,Houston Rockets,0022100999,2022-03-11,HOU vs. DAL,L,241,100,41,86,0.477,6,30,0.2,12,19,0.632,5,34,39,29,9,3,11,23,-13.0
22021,1610612745,HOU,Houston Rockets,0022100985,2022-03-09,HOU vs. LAL,W,263,139,52,102,0.51,17,40,0.425,18,19,0.947,10,40,50,25,7,4,16,21,9.0
22021,1610612745,HOU,Houston Rockets,0022100970,2022-03-07,HOU @ MIA,L,239,106,39,88,0.443,13,43,0.302,15,22,0.682,9,24,33,22,8,7,10,24,-17.0
22021,1610612745,HOU,Houston Rockets,0022100964,2022-03-06,HOU vs. MEM,W,241,123,43,82,0.524,13,34,0.382,24,36,0.667,8,37,45,23,4,5,17,22,11.0
