SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612749,MIL,Milwaukee Bucks,1522200039,2022-07-13,MIL vs. MIN,W,200,87,30,66,0.455,15,36,0.417,12,18,0.667,8,39,47,25,4,9,22,17,12.0
22022,1610612749,MIL,Milwaukee Bucks,1522200028,2022-07-11,MIL @ BOS,L,200,109,38,78,0.487,11,31,0.355,22,29,0.759,10,25,35,19,6,2,16,25,-1.2
22022,1610612749,MIL,Milwaukee Bucks,1522200006,2022-07-08,MIL vs. BKN,W,201,94,31,64,0.484,17,33,0.515,15,21,0.714,2,29,31,19,8,5,17,20,13.0
42021,1610612749,MIL,Milwaukee Bucks,0042100217,2022-05-15,MIL @ BOS,L,240,81,33,90,0.367,4,33,0.121,11,16,0.688,11,45,56,20,5,5,13,18,-28.0
42021,1610612749,MIL,Milwaukee Bucks,0042100216,2022-05-13,MIL vs. BOS,L,238,95,36,88,0.409,7,29,0.241,16,18,0.889,7,42,49,15,5,3,10,25,-13.0
42021,1610612749,MIL,Milwaukee Bucks,0042100215,2022-05-11,MIL @ BOS,W,240,110,40,92,0.435,13,29,0.448,17,21,0.81,17,32,49,22,5,5,13,14,3.0
42021,1610612749,MIL,Milwaukee Bucks,0042100214,2022-05-09,MIL vs. BOS,L,242,108,39,94,0.415,9,27,0.333,21,27,0.778,13,35,48,18,6,3,7,17,-8.0
42021,1610612749,MIL,Milwaukee Bucks,0042100213,2022-05-07,MIL vs. BOS,W,240,103,40,99,0.404,9,34,0.265,14,17,0.824,13,40,53,20,8,4,10,26,2.0
42021,1610612749,MIL,Milwaukee Bucks,0042100212,2022-05-03,MIL @ BOS,L,241,86,34,73,0.466,3,18,0.167,15,23,0.652,5,32,37,16,4,5,16,19,-23.0
42021,1610612749,MIL,Milwaukee Bucks,0042100211,2022-05-01,MIL @ BOS,W,240,101,37,90,0.411,12,34,0.353,15,21,0.714,10,44,54,22,11,5,13,21,12.0
42021,1610612749,MIL,Milwaukee Bucks,0042100125,2022-04-27,MIL vs. CHI,W,240,116,43,87,0.494,14,36,0.389,16,20,0.8,7,44,51,23,10,2,16,13,16.0
42021,1610612749,MIL,Milwaukee Bucks,0042100124,2022-04-24,MIL @ CHI,W,240,119,45,86,0.523,17,33,0.515,12,18,0.667,5,46,51,21,6,4,14,23,24.0
42021,1610612749,MIL,Milwaukee Bucks,0042100123,2022-04-22,MIL @ CHI,W,241,111,43,91,0.473,15,41,0.366,10,14,0.714,9,46,55,27,8,6,9,15,30.0
42021,1610612749,MIL,Milwaukee Bucks,0042100122,2022-04-20,MIL vs. CHI,L,240,110,38,82,0.463,14,36,0.389,20,31,0.645,9,35,44,27,4,6,15,17,-4.0
42021,1610612749,MIL,Milwaukee Bucks,0042100121,2022-04-17,MIL vs. CHI,W,240,93,34,84,0.405,10,38,0.263,15,23,0.652,11,47,58,19,4,6,21,21,7.0
22021,1610612749,MIL,Milwaukee Bucks,0022101218,2022-04-10,MIL @ CLE,L,240,115,39,88,0.443,12,30,0.4,25,32,0.781,8,33,41,27,7,2,12,14,-18.0
22021,1610612749,MIL,Milwaukee Bucks,0022101203,2022-04-08,MIL @ DET,W,241,131,50,101,0.495,11,37,0.297,20,23,0.87,10,41,51,29,7,1,7,20,30.0
22021,1610612749,MIL,Milwaukee Bucks,0022101198,2022-04-07,MIL vs. BOS,W,240,127,49,97,0.505,14,38,0.368,15,21,0.714,14,34,48,27,13,5,11,19,6.0
22021,1610612749,MIL,Milwaukee Bucks,0022101183,2022-04-05,MIL @ CHI,W,238,127,46,87,0.529,12,35,0.343,23,25,0.92,8,39,47,32,8,8,14,19,21.0
22021,1610612749,MIL,Milwaukee Bucks,0022101167,2022-04-03,MIL vs. DAL,L,239,112,42,95,0.442,15,40,0.375,13,18,0.722,10,26,36,25,9,1,9,22,-6.0
22021,1610612749,MIL,Milwaukee Bucks,0022101156,2022-04-01,MIL vs. LAC,L,241,119,50,94,0.532,8,25,0.32,11,18,0.611,13,25,38,30,6,5,15,19,-34.0
22021,1610612749,MIL,Milwaukee Bucks,0022101148,2022-03-31,MIL @ BKN,W,266,120,40,89,0.449,12,41,0.293,28,34,0.824,11,46,57,17,12,3,22,14,1.0
