SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612750,MIN,Minnesota Timberwolves,1522200039,2022-07-13,MIN @ MIL,L,201,75,28,79,0.354,8,25,0.32,11,14,0.786,7,27,34,22,13,5,10,24,-12.0
22022,1610612750,MIN,Minnesota Timberwolves,1522200024,2022-07-10,MIN @ MEM,L,199,63,24,69,0.348,4,33,0.121,11,15,0.733,11,33,44,7,11,5,21,22,-7.0
22022,1610612750,MIN,Minnesota Timberwolves,1522200008,2022-07-08,MIN vs. DEN,W,199,85,30,70,0.429,7,26,0.269,18,23,0.783,10,24,34,16,8,2,12,20,7.0
42021,1610612750,MIN,Minnesota Timberwolves,0042100156,2022-04-29,MIN vs. MEM,L,240,106,38,84,0.452,12,31,0.387,18,26,0.692,6,31,37,22,12,5,11,21,-8.0
42021,1610612750,MIN,Minnesota Timberwolves,0042100155,2022-04-26,MIN @ MEM,L,240,109,37,83,0.446,14,33,0.424,21,24,0.875,6,36,42,23,9,7,22,29,-2.0
42021,1610612750,MIN,Minnesota Timberwolves,0042100154,2022-04-23,MIN vs. MEM,W,239,119,35,74,0.473,18,36,0.5,31,40,0.775,6,28,34,23,7,8,15,23,1.0
42021,1610612750,MIN,Minnesota Timberwolves,0042100153,2022-04-21,MIN vs. MEM,L,241,95,33,85,0.388,12,35,0.343,17,23,0.739,9,32,41,21,11,11,16,28,-9.0
42021,1610612750,MIN,Minnesota Timberwolves,0042100152,2022-04-19,MIN @ MEM,L,239,96,30,76,0.395,11,38,0.289,25,28,0.893,4,36,40,16,5,9,19,28,-28.0
42021,1610612750,MIN,Minnesota Timberwolves,0042100151,2022-04-16,MIN @ MEM,W,240,130,45,90,0.5,16,41,0.39,24,27,0.889,11,35,46,32,5,7,18,32,13.0
52021,1610612750,MIN,Minnesota Timberwolves,0052100121,2022-04-12,MIN vs. LAC,W,239,109,36,83,0.434,14,35,0.4,23,37,0.622,12,37,49,19,10,2,11,26,5.0
