SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612757,POR,Portland Trail Blazers,1522200031,2022-07-11,POR vs. NYK,W,200,88,30,62,0.484,10,24,0.417,18,25,0.72,9,40,49,17,6,5,18,15,4.8
22022,1610612757,POR,Portland Trail Blazers,1522200017,2022-07-09,POR vs. NOP,W,201,85,30,71,0.423,3,24,0.125,22,30,0.733,6,39,45,16,6,7,9,28,23.2
22022,1610612757,POR,Portland Trail Blazers,1522200002,2022-07-08,POR @ DET,L,200,78,29,68,0.426,5,26,0.192,15,23,0.652,6,24,30,12,10,5,20,32,-3.6
22021,1610612757,POR,Portland Trail Blazers,0022101230,2022-04-10,POR vs. UTA,L,238,80,31,83,0.373,9,34,0.265,9,12,0.75,5,27,32,21,11,8,14,27,-31.0
22021,1610612757,POR,Portland Trail Blazers,0022101209,2022-04-08,POR @ DAL,L,239,78,31,83,0.373,7,32,0.219,9,12,0.75,5,24,29,20,9,2,16,23,-50.0
22021,1610612757,POR,Portland Trail Blazers,0022101200,2022-04-07,POR @ NOP,L,241,94,36,69,0.522,11,31,0.355,11,13,0.846,3,24,27,28,10,4,22,27,-33.0
22021,1610612757,POR,Portland Trail Blazers,0022101185,2022-04-05,POR @ OKC,L,240,94,35,83,0.422,11,32,0.344,13,16,0.813,10,30,40,24,10,6,17,19,-4.0
22021,1610612757,POR,Portland Trail Blazers,0022101175,2022-04-03,POR @ SAS,L,239,92,33,84,0.393,16,45,0.356,10,15,0.667,7,32,39,22,7,4,14,22,-21.0
22021,1610612757,POR,Portland Trail Blazers,0022101158,2022-04-01,POR @ SAS,L,240,111,41,92,0.446,15,35,0.429,14,20,0.7,12,30,42,27,12,2,10,20,-19.0
22021,1610612757,POR,Portland Trail Blazers,0022101146,2022-03-30,POR vs. NOP,L,241,107,39,85,0.459,14,42,0.333,15,18,0.833,13,28,41,30,7,4,20,27,-10.0
22021,1610612757,POR,Portland Trail Blazers,0022101130,2022-03-28,POR vs. OKC,L,266,131,51,112,0.455,20,50,0.4,9,13,0.692,19,28,47,28,17,5,11,23,-3.0
22021,1610612757,POR,Portland Trail Blazers,0022101114,2022-03-26,POR vs. HOU,L,241,98,37,93,0.398,12,40,0.3,12,17,0.706,21,30,51,21,14,4,21,19,-17.0
22021,1610612757,POR,Portland Trail Blazers,0022101105,2022-03-25,POR vs. HOU,L,239,106,43,85,0.506,3,20,0.15,17,23,0.739,13,25,38,28,6,3,17,21,-19.0
22021,1610612757,POR,Portland Trail Blazers,0022101094,2022-03-23,POR vs. SAS,L,239,96,36,94,0.383,7,26,0.269,17,18,0.944,12,31,43,18,5,5,16,21,-37.0
22021,1610612757,POR,Portland Trail Blazers,0022101073,2022-03-21,POR @ DET,W,239,119,37,88,0.42,8,28,0.286,37,49,0.755,17,30,47,22,15,7,9,26,4.0
22021,1610612757,POR,Portland Trail Blazers,0022101062,2022-03-20,POR @ IND,L,241,98,38,81,0.469,9,33,0.273,13,18,0.722,10,22,32,23,10,3,17,19,-31.0
22021,1610612757,POR,Portland Trail Blazers,0022101048,2022-03-18,POR @ BKN,L,240,123,48,96,0.5,13,35,0.371,14,24,0.583,17,20,37,29,14,4,13,26,-5.0
22021,1610612757,POR,Portland Trail Blazers,0022101037,2022-03-16,POR @ NYK,L,242,98,40,91,0.44,11,34,0.324,7,14,0.5,10,31,41,26,1,3,11,31,-30.0
22021,1610612757,POR,Portland Trail Blazers,0022101021,2022-03-14,POR @ ATL,L,241,113,44,88,0.5,10,24,0.417,15,21,0.714,11,45,56,25,4,9,20,25,-9.0
22021,1610612757,POR,Portland Trail Blazers,0022101011,2022-03-12,POR vs. WAS,W,241,127,48,93,0.516,11,30,0.367,20,22,0.909,12,31,43,21,10,3,11,21,9.0
22021,1610612757,POR,Portland Trail Blazers,0022100990,2022-03-09,POR @ UTA,L,240,85,29,89,0.326,9,36,0.25,18,22,0.818,9,27,36,19,4,2,9,23,-38.0
22021,1610612757,POR,Portland Trail Blazers,0022100971,2022-03-07,POR @ MIN,L,240,81,23,83,0.277,7,28,0.25,28,38,0.737,8,34,42,11,10,5,17,30,-43.0
22021,1610612757,POR,Portland Trail Blazers,0022100958,2022-03-05,POR @ MIN,L,238,121,40,85,0.471,16,38,0.421,25,30,0.833,11,30,41,24,5,1,15,23,-14.0
22021,1610612757,POR,Portland Trail Blazers,0022100939,2022-03-02,POR @ PHX,L,240,90,30,78,0.385,11,31,0.355,19,25,0.76,5,30,35,22,10,2,18,23,-30.0
22021,1610612757,POR,Portland Trail Blazers,0022100918,2022-02-27,POR vs. DEN,L,239,92,34,91,0.374,6,36,0.167,18,26,0.692,11,31,42,22,12,3,15,25,-32.0
22021,1610612757,POR,Portland Trail Blazers,0022100894,2022-02-24,POR vs. GSW,L,241,95,31,79,0.392,9,35,0.257,24,29,0.828,6,25,31,16,5,4,18,29,-37.0
22021,1610612757,POR,Portland Trail Blazers,0022100879,2022-02-16,POR @ MEM,W,239,123,43,85,0.506,13,32,0.406,24,32,0.75,13,30,43,23,6,5,12,27,4.0
22021,1610612757,POR,Portland Trail Blazers,0022100862,2022-02-14,POR @ MIL,W,241,122,45,99,0.455,18,43,0.419,14,19,0.737,14,44,58,30,8,6,13,19,15.0
22021,1610612757,POR,Portland Trail Blazers,0022100845,2022-02-12,POR vs. NYK,W,240,112,40,84,0.476,15,40,0.375,17,20,0.85,9,42,51,29,3,2,15,26,9.0
22021,1610612757,POR,Portland Trail Blazers,0022100829,2022-02-09,POR vs. LAL,W,239,107,42,89,0.472,10,32,0.313,13,16,0.813,11,30,41,26,15,3,11,15,2.0
22021,1610612757,POR,Portland Trail Blazers,0022100823,2022-02-08,POR vs. ORL,L,239,95,32,91,0.352,11,38,0.289,20,26,0.769,17,33,50,21,9,5,13,12,-18.0
22021,1610612757,POR,Portland Trail Blazers,0022100800,2022-02-05,POR vs. MIL,L,241,108,41,85,0.482,14,45,0.311,12,21,0.571,9,29,38,25,6,6,16,18,-29.0
22021,1610612757,POR,Portland Trail Blazers,0022100795,2022-02-04,POR vs. OKC,L,241,93,40,101,0.396,6,33,0.182,7,10,0.7,17,36,53,18,7,4,12,18,-3.0
22021,1610612757,POR,Portland Trail Blazers,0022100781,2022-02-02,POR @ LAL,L,241,94,35,98,0.357,14,42,0.333,10,19,0.526,18,37,55,23,11,3,12,28,-5.0
22021,1610612757,POR,Portland Trail Blazers,0022100765,2022-01-31,POR @ OKC,L,240,81,34,81,0.42,7,38,0.184,6,8,0.75,6,35,41,18,7,6,14,20,-17.0
22021,1610612757,POR,Portland Trail Blazers,0022100753,2022-01-30,POR @ CHI,L,240,116,43,83,0.518,18,39,0.462,12,16,0.75,5,31,36,23,4,3,12,12,-14.0
22021,1610612757,POR,Portland Trail Blazers,0022100739,2022-01-28,POR @ HOU,W,240,125,46,81,0.568,17,39,0.436,16,20,0.8,4,30,34,20,10,4,13,24,15.0
22021,1610612757,POR,Portland Trail Blazers,0022100732,2022-01-26,POR vs. DAL,L,240,112,42,82,0.512,14,38,0.368,14,23,0.609,3,35,38,27,4,1,9,21,-20.0
22021,1610612757,POR,Portland Trail Blazers,0022100721,2022-01-25,POR vs. MIN,L,240,107,37,94,0.394,16,41,0.39,17,20,0.85,15,35,50,26,4,2,14,24,-2.0
22021,1610612757,POR,Portland Trail Blazers,0022100702,2022-01-23,POR @ TOR,W,240,114,45,85,0.529,18,32,0.563,6,13,0.462,10,37,47,31,8,7,22,17,9.0
22021,1610612757,POR,Portland Trail Blazers,0022100688,2022-01-21,POR @ BOS,W,239,109,36,76,0.474,16,33,0.485,21,30,0.7,7,35,42,20,6,4,13,21,4.0
