SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612761,TOR,Toronto Raptors,1522200042,2022-07-13,TOR @ UTA,W,199,80,30,68,0.441,8,30,0.267,12,16,0.75,12,27,39,14,8,5,15,20,6.0
22022,1610612761,TOR,Toronto Raptors,1522200032,2022-07-12,TOR vs. CHI,L,201,83,32,73,0.438,14,32,0.438,5,9,0.556,7,22,29,17,8,3,18,26,-12.2
22022,1610612761,TOR,Toronto Raptors,1522200010,2022-07-09,TOR @ PHI,W,200,97,32,74,0.432,9,31,0.29,24,27,0.889,10,28,38,21,15,7,17,30,8.8
42021,1610612761,TOR,Toronto Raptors,0042100136,2022-04-28,TOR vs. PHI,L,239,97,35,89,0.393,7,35,0.2,20,25,0.8,15,22,37,15,6,1,9,22,-35.0
42021,1610612761,TOR,Toronto Raptors,0042100135,2022-04-25,TOR @ PHI,W,239,103,42,82,0.512,8,31,0.258,11,13,0.846,3,37,40,24,8,6,8,20,15.0
42021,1610612761,TOR,Toronto Raptors,0042100134,2022-04-23,TOR vs. PHI,W,239,110,37,88,0.42,8,34,0.235,28,35,0.8,13,33,46,19,9,6,11,20,8.0
42021,1610612761,TOR,Toronto Raptors,0042100133,2022-04-20,TOR vs. PHI,L,265,101,38,86,0.442,13,35,0.371,12,18,0.667,9,23,32,23,9,4,10,21,-3.0
42021,1610612761,TOR,Toronto Raptors,0042100132,2022-04-18,TOR @ PHI,L,240,97,38,89,0.427,11,32,0.344,10,12,0.833,13,22,35,16,7,4,9,24,-15.0
42021,1610612761,TOR,Toronto Raptors,0042100131,2022-04-16,TOR @ PHI,L,242,111,40,82,0.488,12,30,0.4,19,23,0.826,7,28,35,27,1,8,8,26,-20.0
22021,1610612761,TOR,Toronto Raptors,0022101226,2022-04-10,TOR @ NYK,L,240,94,36,92,0.391,12,42,0.286,10,11,0.909,9,34,43,27,10,2,13,17,-11.0
22021,1610612761,TOR,Toronto Raptors,0022101206,2022-04-08,TOR vs. HOU,W,240,117,44,96,0.458,7,29,0.241,22,23,0.957,13,28,41,20,13,4,9,18,2.0
22021,1610612761,TOR,Toronto Raptors,0022101197,2022-04-07,TOR vs. PHI,W,241,119,45,91,0.495,15,33,0.455,14,18,0.778,12,29,41,22,7,4,10,17,5.0
22021,1610612761,TOR,Toronto Raptors,0022101182,2022-04-05,TOR vs. ATL,W,239,118,44,101,0.436,9,35,0.257,21,31,0.677,20,40,60,20,6,5,7,14,10.0
22021,1610612761,TOR,Toronto Raptors,0022101172,2022-04-03,TOR vs. MIA,L,241,109,35,83,0.422,12,39,0.308,27,34,0.794,10,28,38,19,12,1,14,20,-5.0
22021,1610612761,TOR,Toronto Raptors,0022101151,2022-04-01,TOR @ ORL,W,240,102,36,86,0.419,13,42,0.31,17,20,0.85,10,31,41,21,13,3,10,14,13.0
22021,1610612761,TOR,Toronto Raptors,0022101141,2022-03-30,TOR vs. MIN,W,238,125,48,96,0.5,18,36,0.5,11,15,0.733,11,36,47,32,9,4,17,23,23.0
22021,1610612761,TOR,Toronto Raptors,0022101127,2022-03-28,TOR vs. BOS,W,265,115,46,106,0.434,10,39,0.256,13,18,0.722,16,36,52,16,10,11,10,28,3.0
22021,1610612761,TOR,Toronto Raptors,0022101109,2022-03-26,TOR vs. IND,W,238,131,51,84,0.607,15,32,0.469,14,19,0.737,9,33,42,34,9,3,6,16,40.0
22021,1610612761,TOR,Toronto Raptors,0022101095,2022-03-24,TOR vs. CLE,W,240,117,42,89,0.472,16,37,0.432,17,19,0.895,13,27,40,26,9,5,8,22,13.0
22021,1610612761,TOR,Toronto Raptors,0022101076,2022-03-21,TOR @ CHI,L,239,99,40,91,0.44,6,32,0.188,13,15,0.867,14,35,49,26,5,6,12,20,-14.0
22021,1610612761,TOR,Toronto Raptors,0022101069,2022-03-20,TOR @ PHI,W,240,93,35,93,0.376,7,26,0.269,16,23,0.696,20,36,56,16,5,4,8,16,5.0
22021,1610612761,TOR,Toronto Raptors,0022101051,2022-03-18,TOR vs. LAL,L,265,123,49,97,0.505,12,37,0.324,13,20,0.65,16,30,46,25,8,2,12,19,-5.0
22021,1610612761,TOR,Toronto Raptors,0022101044,2022-03-16,TOR @ LAC,W,239,103,38,83,0.458,11,32,0.344,16,21,0.762,13,30,43,14,5,1,11,12,3.0
22021,1610612761,TOR,Toronto Raptors,0022101028,2022-03-14,TOR @ LAL,W,239,114,39,96,0.406,10,37,0.27,26,36,0.722,19,45,64,24,8,9,12,20,11.0
22021,1610612761,TOR,Toronto Raptors,0022101009,2022-03-12,TOR @ DEN,W,242,127,48,102,0.471,12,31,0.387,19,25,0.76,23,27,50,28,12,6,7,23,12.0
22021,1610612761,TOR,Toronto Raptors,0022101003,2022-03-11,TOR @ PHX,W,239,117,42,94,0.447,14,32,0.438,19,21,0.905,12,36,48,19,11,4,15,19,5.0
22021,1610612761,TOR,Toronto Raptors,0022100989,2022-03-09,TOR @ SAS,W,241,119,41,85,0.482,11,30,0.367,26,28,0.929,13,34,47,12,7,1,10,23,15.0
22021,1610612761,TOR,Toronto Raptors,0022100962,2022-03-06,TOR @ CLE,L,239,96,37,94,0.394,6,24,0.25,16,26,0.615,14,31,45,17,13,3,7,20,-8.0
22021,1610612761,TOR,Toronto Raptors,0022100458,2022-03-04,TOR vs. ORL,L,242,97,37,93,0.398,12,37,0.324,11,17,0.647,12,42,54,22,2,8,12,18,-6.0
22021,1610612761,TOR,Toronto Raptors,0022100942,2022-03-03,TOR vs. DET,L,240,106,36,83,0.434,7,26,0.269,27,36,0.75,14,27,41,12,5,4,10,22,-2.0
22021,1610612761,TOR,Toronto Raptors,0022100928,2022-03-01,TOR vs. BKN,W,242,109,41,90,0.456,7,23,0.304,20,23,0.87,16,32,48,27,5,2,13,19,1.0
22021,1610612761,TOR,Toronto Raptors,0022100726,2022-02-28,TOR @ BKN,W,241,133,51,99,0.515,18,38,0.474,13,22,0.591,16,31,47,35,17,5,12,20,36.0
22021,1610612761,TOR,Toronto Raptors,0022100906,2022-02-26,TOR @ ATL,L,241,100,38,95,0.4,10,32,0.313,14,19,0.737,11,31,42,25,5,2,11,26,-27.0
22021,1610612761,TOR,Toronto Raptors,0022100896,2022-02-25,TOR @ CHA,L,240,93,37,84,0.44,6,23,0.261,13,23,0.565,10,26,36,18,6,4,16,12,-32.0
22021,1610612761,TOR,Toronto Raptors,0022100880,2022-02-16,TOR @ MIN,W,241,103,40,88,0.455,8,25,0.32,15,19,0.789,9,39,48,21,7,6,13,21,12.0
22021,1610612761,TOR,Toronto Raptors,0022100863,2022-02-14,TOR @ NOP,L,238,90,29,95,0.305,8,34,0.235,24,31,0.774,19,25,44,8,7,3,6,14,-30.0
22021,1610612761,TOR,Toronto Raptors,0022100850,2022-02-12,TOR vs. DEN,L,240,109,43,88,0.489,12,34,0.353,11,17,0.647,8,27,35,22,11,1,7,19,-1.0
