SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612752,NYK,New York Knicks,1522200031,2022-07-11,NYK @ POR,L,199,77,29,76,0.382,11,41,0.268,8,16,0.5,7,23,30,14,10,4,12,21,-4.8
22022,1610612752,NYK,New York Knicks,1522200020,2022-07-10,NYK vs. CHI,W,201,101,37,72,0.514,10,31,0.323,17,26,0.654,10,32,42,21,11,4,14,28,31.6
22022,1610612752,NYK,New York Knicks,1522200007,2022-07-08,NYK vs. GSW,W,201,101,37,76,0.487,9,31,0.29,18,23,0.783,6,27,33,24,16,3,12,23,5.2
22021,1610612752,NYK,New York Knicks,0022101226,2022-04-10,NYK vs. TOR,W,241,105,40,87,0.46,15,43,0.349,10,12,0.833,10,38,48,32,6,5,15,17,11.0
22021,1610612752,NYK,New York Knicks,0022101204,2022-04-08,NYK @ WAS,W,241,114,41,88,0.466,16,39,0.41,16,20,0.8,10,32,42,27,13,3,10,19,22.0
22021,1610612752,NYK,New York Knicks,0022101191,2022-04-06,NYK vs. BKN,L,241,98,32,83,0.386,13,38,0.342,21,36,0.583,10,32,42,22,4,7,11,19,-12.0
22021,1610612752,NYK,New York Knicks,0022101171,2022-04-03,NYK @ ORL,W,239,118,45,93,0.484,15,44,0.341,13,16,0.813,13,43,56,29,9,7,9,22,30.0
22021,1610612752,NYK,New York Knicks,0022101162,2022-04-02,NYK vs. CLE,L,241,101,31,77,0.403,13,30,0.433,26,34,0.765,6,29,35,19,6,4,10,19,-18.0
22021,1610612752,NYK,New York Knicks,0022101140,2022-03-30,NYK vs. CHA,L,239,114,40,85,0.471,16,44,0.364,18,26,0.692,11,32,43,23,5,5,12,19,-11.0
22021,1610612752,NYK,New York Knicks,0022101126,2022-03-28,NYK vs. CHI,W,240,109,38,89,0.427,12,35,0.343,21,35,0.6,13,33,46,19,4,4,6,22,5.0
22021,1610612752,NYK,New York Knicks,0022101115,2022-03-27,NYK @ DET,W,240,104,34,85,0.4,13,41,0.317,23,29,0.793,13,38,51,19,8,8,12,16,2.0
22021,1610612752,NYK,New York Knicks,0022101103,2022-03-25,NYK @ MIA,W,239,111,36,82,0.439,17,50,0.34,22,28,0.786,17,25,42,23,8,2,11,24,8.0
