SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612760,OKC,Oklahoma City Thunder,1522200043,2022-07-13,OKC vs. SAC,W,201,86,31,68,0.456,8,23,0.348,16,20,0.8,8,32,40,14,8,4,16,21,7.4
22022,1610612760,OKC,Oklahoma City Thunder,1522200029,2022-07-11,OKC vs. ORL,W,200,84,32,73,0.438,5,25,0.2,15,22,0.682,8,36,44,22,8,5,21,18,4.4
22022,1610612760,OKC,Oklahoma City Thunder,1522200015,2022-07-09,OKC @ HOU,L,201,88,31,81,0.383,4,23,0.174,22,27,0.815,10,31,41,15,9,6,14,17,1.2
22022,1610612760,OKC,Oklahoma City Thunder,1622200005,2022-07-07,OKC @ PHI,L,200,79,28,70,0.4,10,28,0.357,13,18,0.722,9,25,34,18,12,5,21,24,-0.4
22022,1610612760,OKC,Oklahoma City Thunder,1622200003,2022-07-06,OKC vs. MEM,W,201,87,31,78,0.397,11,37,0.297,14,16,0.875,7,44,51,23,8,6,13,20,18.6
22022,1610612760,OKC,Oklahoma City Thunder,1622200002,2022-07-05,OKC @ UTA,W,200,98,36,73,0.493,8,29,0.276,18,24,0.75,13,37,50,23,8,9,16,16,21.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101222,2022-04-10,OKC @ LAC,L,239,88,37,98,0.378,9,34,0.265,5,9,0.556,12,28,40,17,6,2,8,16,-50.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101211,2022-04-08,OKC @ LAL,L,240,101,40,88,0.455,6,29,0.207,15,19,0.789,9,35,44,21,5,3,14,26,-19.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101194,2022-04-06,OKC @ UTA,L,241,101,37,90,0.411,16,37,0.432,11,17,0.647,11,21,32,27,9,1,10,22,-36.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101185,2022-04-05,OKC vs. POR,W,240,98,39,81,0.481,9,29,0.31,11,22,0.5,13,34,47,15,12,12,16,10,4.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101174,2022-04-03,OKC vs. PHX,W,240,117,43,87,0.494,17,41,0.415,14,18,0.778,12,42,54,33,7,4,16,18,21.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101157,2022-04-01,OKC vs. DET,L,242,101,36,84,0.429,11,34,0.324,18,29,0.621,12,42,54,24,1,8,15,15,-9.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101143,2022-03-30,OKC vs. ATL,L,241,118,41,87,0.471,17,41,0.415,19,27,0.704,10,32,42,31,5,2,18,17,-18.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101130,2022-03-28,OKC @ POR,W,265,134,48,90,0.533,20,45,0.444,18,25,0.72,11,38,49,32,7,3,20,15,3.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101113,2022-03-26,OKC @ DEN,L,242,107,39,84,0.464,14,36,0.389,15,16,0.938,5,31,36,29,8,5,16,19,-6.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101091,2022-03-23,OKC vs. ORL,W,239,118,38,79,0.481,17,41,0.415,25,30,0.833,5,39,44,21,6,6,11,16,14.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101078,2022-03-21,OKC vs. BOS,L,241,123,48,93,0.516,17,37,0.459,10,14,0.714,10,32,42,23,5,4,11,26,-9.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101065,2022-03-20,OKC @ ORL,L,240,85,30,92,0.326,13,48,0.271,12,18,0.667,14,33,47,19,13,7,16,24,-5.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101052,2022-03-18,OKC @ MIA,L,241,108,40,84,0.476,10,34,0.294,18,23,0.783,11,36,47,19,4,5,10,10,-12.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101040,2022-03-16,OKC @ SAS,L,239,120,43,82,0.524,13,35,0.371,21,29,0.724,10,37,47,24,11,1,17,18,-2.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101023,2022-03-14,OKC vs. CHA,L,239,116,42,90,0.467,16,44,0.364,16,19,0.842,13,36,49,31,4,3,18,19,-18.0
22021,1610612760,OKC,Oklahoma City Thunder,0022101018,2022-03-13,OKC vs. MEM,L,241,118,41,97,0.423,13,41,0.317,23,28,0.821,14,30,44,25,7,8,11,21,-7.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100986,2022-03-09,OKC @ MIN,L,240,102,36,87,0.414,14,43,0.326,16,24,0.667,9,33,42,26,8,0,15,18,-30.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100979,2022-03-08,OKC vs. MIL,L,239,115,42,84,0.5,16,39,0.41,15,21,0.714,6,30,36,26,6,5,15,20,-27.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100965,2022-03-06,OKC vs. UTA,L,240,103,39,92,0.424,8,40,0.2,17,19,0.895,11,36,47,20,11,9,7,19,-13.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100951,2022-03-04,OKC vs. MIN,L,240,101,37,86,0.43,9,35,0.257,18,21,0.857,8,31,39,19,12,4,23,16,-37.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100938,2022-03-02,OKC @ DEN,W,240,119,44,87,0.506,16,29,0.552,15,21,0.714,9,41,50,24,11,6,14,15,12.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100925,2022-02-28,OKC vs. SAC,L,240,110,40,86,0.465,11,35,0.314,19,27,0.704,7,31,38,28,12,5,16,26,-21.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100897,2022-02-25,OKC @ IND,W,265,129,50,101,0.495,11,31,0.355,18,24,0.75,11,43,54,23,8,3,11,19,4.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100893,2022-02-24,OKC vs. PHX,L,242,104,44,93,0.473,6,31,0.194,10,11,0.909,7,35,42,22,10,4,16,19,-20.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100881,2022-02-16,OKC vs. SAS,L,240,106,41,105,0.39,11,32,0.344,13,19,0.684,15,35,50,25,6,6,8,19,-8.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100860,2022-02-14,OKC @ NYK,W,266,127,48,96,0.5,13,34,0.382,18,27,0.667,8,38,46,28,9,1,11,19,4.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100852,2022-02-12,OKC @ CHI,L,241,101,34,88,0.386,11,36,0.306,22,30,0.733,7,36,43,22,8,10,8,15,-5.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100840,2022-02-11,OKC @ PHI,L,242,87,35,90,0.389,6,35,0.171,11,12,0.917,11,41,52,21,6,8,15,21,-13.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100827,2022-02-09,OKC vs. TOR,L,240,98,36,87,0.414,14,47,0.298,12,14,0.857,14,31,45,28,11,4,17,17,-19.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100813,2022-02-07,OKC vs. GSW,L,240,98,37,90,0.411,11,36,0.306,13,17,0.765,18,32,50,21,8,2,17,14,-12.0
22021,1610612760,OKC,Oklahoma City Thunder,0022100801,2022-02-05,OKC @ SAC,L,240,103,42,87,0.483,9,30,0.3,10,16,0.625,7,34,41,23,8,1,14,16,-10.0
