SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612755,PHI,Philadelphia 76ers,1522200044,2022-07-13,PHI vs. MIA,W,200,75,27,65,0.415,5,21,0.238,16,20,0.8,9,33,42,18,5.0,12,22,23,5.8
22022,1610612755,PHI,Philadelphia 76ers,1522200019,2022-07-10,PHI @ BKN,L,200,84,33,81,0.407,9,28,0.321,9,12,0.75,11,24,35,17,13.0,5,18,26,-4.8
22022,1610612755,PHI,Philadelphia 76ers,1522200010,2022-07-09,PHI vs. TOR,L,200,77,27,67,0.403,10,28,0.357,13,22,0.591,8,28,36,17,9.0,4,25,26,-14.2
22022,1610612755,PHI,Philadelphia 76ers,1622200005,2022-07-07,PHI vs. OKC,W,200,80,26,67,0.388,6,23,0.261,22,27,0.815,14,29,43,16,13.0,6,21,24,-1.0
22022,1610612755,PHI,Philadelphia 76ers,1622200004,2022-07-06,PHI @ UTA,W,201,86,30,78,0.385,4,22,0.182,22,28,0.786,15,27,42,18,17.0,4,13,32,5.0
22022,1610612755,PHI,Philadelphia 76ers,1622200001,2022-07-05,PHI vs. MEM,L,200,99,37,84,0.44,8,30,0.267,17,22,0.773,18,25,43,22,15.0,4,16,20,-4.2
42021,1610612755,PHI,Philadelphia 76ers,0042100206,2022-05-12,PHI vs. MIA,L,239,90,36,87,0.414,12,37,0.324,6,7,0.857,6,29,35,21,8.0,6,13,16,-9.0
42021,1610612755,PHI,Philadelphia 76ers,0042100205,2022-05-10,PHI @ MIA,L,241,85,31,85,0.365,9,32,0.281,14,15,0.933,10,26,36,14,8.0,2,15,19,-35.0
42021,1610612755,PHI,Philadelphia 76ers,0042100204,2022-05-08,PHI vs. MIA,W,239,116,37,68,0.544,16,33,0.485,26,34,0.765,4,28,32,25,5.0,2,16,24,8.0
42021,1610612755,PHI,Philadelphia 76ers,0042100203,2022-05-06,PHI vs. MIA,W,242,99,32,67,0.478,16,33,0.485,19,22,0.864,8,35,43,22,7.0,3,18,24,20.0
42021,1610612755,PHI,Philadelphia 76ers,0042100202,2022-05-04,PHI @ MIA,L,236,103,38,84,0.452,8,30,0.267,19,22,0.864,5,29,34,17,10.0,4,8,25,-16.0
42021,1610612755,PHI,Philadelphia 76ers,0042100201,2022-05-02,PHI @ MIA,L,241,92,34,79,0.43,6,34,0.176,18,20,0.9,9,28,37,18,4.0,6,14,17,-14.0
42021,1610612755,PHI,Philadelphia 76ers,0042100136,2022-04-28,PHI @ TOR,W,239,132,47,81,0.58,16,40,0.4,22,23,0.957,10,37,47,32,4.0,4,11,22,35.0
42021,1610612755,PHI,Philadelphia 76ers,0042100135,2022-04-25,PHI vs. TOR,L,240,88,31,81,0.383,10,37,0.27,16,20,0.8,8,29,37,21,7.0,1,15,17,-15.0
42021,1610612755,PHI,Philadelphia 76ers,0042100134,2022-04-23,PHI @ TOR,L,238,102,34,80,0.425,13,31,0.419,21,25,0.84,6,35,41,24,4.0,5,15,26,-8.0
42021,1610612755,PHI,Philadelphia 76ers,0042100133,2022-04-20,PHI @ TOR,W,265,104,38,74,0.514,13,31,0.419,15,20,0.75,9,37,46,18,5.0,3,22,21,3.0
42021,1610612755,PHI,Philadelphia 76ers,0042100132,2022-04-18,PHI vs. TOR,W,240,112,36,69,0.522,14,30,0.467,26,30,0.867,7,34,41,20,5.0,12,14,18,15.0
42021,1610612755,PHI,Philadelphia 76ers,0042100131,2022-04-16,PHI vs. TOR,W,239,131,43,84,0.512,16,32,0.5,29,34,0.853,10,29,39,29,6.0,4,3,18,20.0
22021,1610612755,PHI,Philadelphia 76ers,0022101228,2022-04-10,PHI vs. DET,W,240,118,46,88,0.523,5,25,0.2,21,23,0.913,10,32,42,25,13.0,6,10,23,12.0
22021,1610612755,PHI,Philadelphia 76ers,0022101214,2022-04-09,PHI vs. IND,W,240,133,50,90,0.556,12,34,0.353,21,27,0.778,14,28,42,37,14.0,3,14,24,13.0
22021,1610612755,PHI,Philadelphia 76ers,0022101197,2022-04-07,PHI @ TOR,L,240,114,37,75,0.493,19,36,0.528,21,25,0.84,6,31,37,26,7.0,3,16,18,-5.0
22021,1610612755,PHI,Philadelphia 76ers,0022101178,2022-04-05,PHI @ IND,W,241,131,47,87,0.54,23,40,0.575,14,18,0.778,5,31,36,34,8.0,3,14,14,9.0
22021,1610612755,PHI,Philadelphia 76ers,0022101170,2022-04-03,PHI @ CLE,W,240,112,33,80,0.413,11,31,0.355,35,42,0.833,12,38,50,23,7.0,8,14,19,4.0
22021,1610612755,PHI,Philadelphia 76ers,0022101161,2022-04-02,PHI vs. CHA,W,240,144,53,87,0.609,21,43,0.488,17,21,0.81,10,37,47,38,10.0,5,19,18,30.0
22021,1610612755,PHI,Philadelphia 76ers,0022101147,2022-03-31,PHI @ DET,L,239,94,31,69,0.449,7,26,0.269,25,28,0.893,4,35,39,22,8.0,9,15,17,-8.0
22021,1610612755,PHI,Philadelphia 76ers,0022101131,2022-03-29,PHI vs. MIL,L,241,116,43,89,0.483,16,41,0.39,14,18,0.778,5,35,40,28,7.0,3,8,19,-2.0
22021,1610612755,PHI,Philadelphia 76ers,0022101118,2022-03-27,PHI @ PHX,L,240,104,37,89,0.416,10,36,0.278,20,26,0.769,12,33,45,22,6.0,4,10,19,-10.0
22021,1610612755,PHI,Philadelphia 76ers,0022101106,2022-03-25,PHI @ LAC,W,241,122,43,92,0.467,15,35,0.429,21,24,0.875,12,40,52,23,12.0,8,11,18,25.0
22021,1610612755,PHI,Philadelphia 76ers,0022101093,2022-03-23,PHI @ LAL,W,240,126,47,91,0.516,10,27,0.37,22,28,0.786,8,35,43,26,7.0,5,7,13,5.0
22021,1610612755,PHI,Philadelphia 76ers,0022101074,2022-03-21,PHI vs. MIA,W,240,113,43,86,0.5,15,37,0.405,12,16,0.75,11,34,45,26,6.0,4,11,20,7.0
22021,1610612755,PHI,Philadelphia 76ers,0022101069,2022-03-20,PHI vs. TOR,L,241,88,30,73,0.411,7,27,0.259,21,28,0.75,5,35,40,21,7.0,5,10,23,-5.0
22021,1610612755,PHI,Philadelphia 76ers,0022101046,2022-03-18,PHI vs. DAL,W,240,111,37,75,0.493,16,38,0.421,21,23,0.913,5,33,38,23,9.0,4,11,21,10.0
22021,1610612755,PHI,Philadelphia 76ers,0022101034,2022-03-16,PHI @ CLE,W,239,118,41,79,0.519,12,32,0.375,24,28,0.857,7,32,39,24,6.0,2,11,25,4.0
22021,1610612755,PHI,Philadelphia 76ers,0022101022,2022-03-14,PHI vs. DEN,L,239,110,36,84,0.429,12,33,0.364,26,32,0.813,11,37,48,25,8.0,6,13,17,-4.0
22021,1610612755,PHI,Philadelphia 76ers,0022101015,2022-03-13,PHI @ ORL,W,265,116,35,92,0.38,14,37,0.378,32,37,0.865,10,35,45,21,7.0,3,8,17,2.0
22021,1610612755,PHI,Philadelphia 76ers,0022100993,2022-03-10,PHI vs. BKN,L,240,100,30,93,0.323,14,36,0.389,26,30,0.867,17,33,50,19,5.0,5,18,19,-29.0
22021,1610612755,PHI,Philadelphia 76ers,0022100969,2022-03-07,PHI vs. CHI,W,240,121,41,84,0.488,12,30,0.4,27,34,0.794,8,30,38,29,5.0,5,9,19,15.0
22021,1610612755,PHI,Philadelphia 76ers,0022100956,2022-03-05,PHI @ MIA,L,239,82,28,82,0.341,7,41,0.171,19,23,0.826,13,28,41,13,9.0,4,9,17,-17.0
22021,1610612755,PHI,Philadelphia 76ers,0022100947,2022-03-04,PHI vs. CLE,W,240,125,41,75,0.547,14,33,0.424,29,32,0.906,3,27,30,23,8.0,3,11,24,6.0
22021,1610612755,PHI,Philadelphia 76ers,0022100934,2022-03-02,PHI vs. NYK,W,240,123,39,75,0.52,17,36,0.472,28,33,0.848,5,38,43,24,2.0,8,14,25,15.0
22021,1610612755,PHI,Philadelphia 76ers,0022100912,2022-02-27,PHI @ NYK,W,242,125,38,78,0.487,10,33,0.303,39,44,0.886,5,38,43,28,13.0,5,10,26,16.0
